Tile_ID,Tile_Name,Tile_Type,Room_Type,Colour,Size,Finish,Style,Price_Range,Rating,Usage
T0231,Rustic Brown Ceramic (Textured),Wall,Kitchen,Brown,60x60 cm,Textured,Rustic,Medium,3.8,Indoor
T0232,Classic Black Granite (Matte),Both,Kitchen,Black,60x60 cm,Matte,Classic,High,4.1,Both
T0233,Classic White Ceramic (Matte),Wall,Living Room,White,100x100 cm,Matte,Classic,Low,4.3,Both
T0234,Rustic Brown Terracotta (Matte),Floor,Kitchen,Brown,30x30 cm,Matte,Rustic,Medium,3.4,Outdoor
T0235,Modern Beige Sandstone (Matte),Floor,Bedroom,Beige,80x80 cm,Matte,Modern,Low,3.6,Both
T0236,Minimalist Black Porcelain (Matte),Floor,Bedroom,Black,80x80 cm,Matte,Minimalist,Medium,3.9,Outdoor
T0237,Rustic Brown Wood-look (Satin),Wall,Living Room,Brown,80x80 cm,Satin,Rustic,Low,3.2,Indoor
T0238,Minimalist Grey Porcelain (Textured),Both,Bedroom,Grey,30x30 cm,Textured,Minimalist,Medium,4.3,Indoor
T0239,Modern Blue Ceramic (Textured),Both,Outdoor,Blue,60x60 cm,Textured,Modern,High,3.9,Indoor
T0240,Modern White Porcelain (Satin),Wall,Bathroom,White,100x100 cm,Satin,Modern,Medium,3.7,Both
T0241,Classic Brown Wood-look (Glossy),Both,Living Room,Brown,100x100 cm,Glossy,Classic,Low,3.5,Indoor
T0242,Modern Black Granite (Textured),Wall,Kitchen,Black,30x30 cm,Textured,Modern,High,4.3,Outdoor
T0243,Rustic Beige Ceramic (Textured),Floor,Bedroom,Beige,80x80 cm,Textured,Rustic,Medium,4.3,Both
T0244,Classic Black Slate (Glossy),Both,Bedroom,Black,80x80 cm,Glossy,Classic,Medium,3.7,Outdoor
T0245,Classic Black Granite (Glossy),Floor,Living Room,Black,80x80 cm,Glossy,Classic,Medium,3.2,Indoor
T0246,Modern Black Porcelain (Textured),Wall,Outdoor,Black,80x80 cm,Textured,Modern,High,3.3,Indoor
T0247,Minimalist Black Granite (Glossy),Wall,Outdoor,Black,100x100 cm,Glossy,Minimalist,Medium,3.5,Both
T0248,Modern White Marble (Textured),Wall,Outdoor,White,60x60 cm,Textured,Modern,Low,3.5,Indoor
T0249,Modern Beige Sandstone (Matte),Both,Living Room,Beige,30x30 cm,Matte,Modern,Low,3.6,Outdoor
T0250,Minimalist Beige Ceramic (Satin),Wall,Bathroom,Beige,60x60 cm,Satin,Minimalist,High,4.1,Indoor
T0251,Classic Black Porcelain (Glossy),Wall,Bedroom,Black,30x30 cm,Glossy,Classic,High,4.3,Outdoor
T0252,Classic Blue Ceramic (Satin),Both,Kitchen,Blue,60x60 cm,Satin,Classic,Low,3.6,Both
T0253,Rustic Beige Ceramic (Satin),Wall,Kitchen,Beige,60x60 cm,Satin,Rustic,Medium,4.6,Indoor
T0254,Classic Brown Wood-look (Textured),Both,Living Room,Brown,60x60 cm,Textured,Classic,Medium,4.7,Both
T0255,Modern Grey Concrete (Glossy),Floor,Outdoor,Grey,60x60 cm,Glossy,Modern,Low,3.1,Indoor
T0256,Modern Black Granite (Satin),Wall,Kitchen,Black,60x60 cm,Satin,Modern,Low,3.2,Outdoor
T0257,Rustic Brown Terracotta (Matte),Both,Bathroom,Brown,80x80 cm,Matte,Rustic,High,4.1,Outdoor
T0258,Modern Beige Ceramic (Matte),Both,Bedroom,Beige,30x30 cm,Matte,Modern,High,4.4,Indoor
T0259,Modern Grey Porcelain (Glossy),Floor,Kitchen,Grey,60x60 cm,Glossy,Modern,Medium,3.2,Indoor
T0260,Minimalist Black Porcelain (Textured),Floor,Outdoor,Black,80x80 cm,Textured,Minimalist,Low,4.2,Outdoor
T0261,Rustic Beige Sandstone (Textured),Both,Outdoor,Beige,80x80 cm,Textured,Rustic,High,4.1,Outdoor
T0262,Rustic Blue Mosaic (Glossy),Wall,Outdoor,Blue,60x60 cm,Glossy,Rustic,High,3.8,Both
T0263,Classic Brown Terracotta (Satin),Floor,Bedroom,Brown,80x80 cm,Satin,Classic,Medium,3.4,Indoor
T0264,Modern White Ceramic (Matte),Wall,Outdoor,White,30x30 cm,Matte,Modern,Low,4.6,Indoor
T0265,Modern Black Porcelain (Glossy),Both,Outdoor,Black,100x100 cm,Glossy,Modern,High,3.3,Outdoor
T0266,Classic Black Slate (Textured),Both,Living Room,Black,30x30 cm,Textured,Classic,Low,3.9,Indoor
T0267,Modern Beige Sandstone (Glossy),Floor,Living Room,Beige,30x30 cm,Glossy,Modern,Low,4.6,Indoor
T0268,Classic White Marble (Matte),Floor,Kitchen,White,80x80 cm,Matte,Classic,High,4.3,Both
T0269,Minimalist Blue Mosaic (Satin),Floor,Kitchen,Blue,80x80 cm,Satin,Minimalist,Low,3.3,Indoor
T0270,Minimalist Brown Wood-look (Textured),Floor,Bathroom,Brown,30x30 cm,Textured,Minimalist,Low,4.6,Both
T0271,Modern White Ceramic (Textured),Wall,Kitchen,White,80x80 cm,Textured,Modern,High,4.9,Both
T0272,Rustic Black Porcelain (Matte),Floor,Outdoor,Black,60x60 cm,Matte,Rustic,Medium,4.5,Outdoor
T0273,Rustic Blue Mosaic (Satin),Floor,Living Room,Blue,60x60 cm,Satin,Rustic,High,3.4,Indoor
T0274,Classic Black Slate (Glossy),Floor,Living Room,Black,60x60 cm,Glossy,Classic,High,3.1,Outdoor
T0275,Modern Beige Travertine (Textured),Wall,Outdoor,Beige,30x30 cm,Textured,Modern,High,4.0,Outdoor
T0276,Classic Grey Porcelain (Glossy),Wall,Living Room,Grey,30x30 cm,Glossy,Classic,High,4.1,Outdoor
T0277,Classic White Marble (Textured),Wall,Kitchen,White,30x30 cm,Textured,Classic,High,4.8,Indoor
T0278,Classic Grey Concrete (Satin),Both,Living Room,Grey,100x100 cm,Satin,Classic,Low,4.1,Indoor
T0279,Classic Brown Wood-look (Matte),Wall,Kitchen,Brown,100x100 cm,Matte,Classic,High,3.6,Outdoor
T0280,Modern Grey Concrete (Textured),Floor,Outdoor,Grey,60x60 cm,Textured,Modern,Medium,3.3,Both
T0281,Rustic Black Slate (Satin),Both,Bathroom,Black,80x80 cm,Satin,Rustic,Low,3.8,Indoor
T0282,Modern Brown Ceramic (Satin),Wall,Bathroom,Brown,80x80 cm,Satin,Modern,Low,3.2,Both
T0283,Minimalist White Ceramic (Satin),Wall,Bedroom,White,100x100 cm,Satin,Minimalist,Low,4.5,Both
T0284,Minimalist White Porcelain (Textured),Wall,Bedroom,White,80x80 cm,Textured,Minimalist,Low,4.1,Outdoor
T0285,Rustic Grey Concrete (Glossy),Floor,Living Room,Grey,100x100 cm,Glossy,Rustic,Medium,4.7,Outdoor
T0286,Minimalist Blue Mosaic (Matte),Wall,Living Room,Blue,60x60 cm,Matte,Minimalist,Low,3.7,Both
T0287,Rustic Grey Porcelain (Matte),Both,Outdoor,Grey,60x60 cm,Matte,Rustic,High,3.9,Outdoor
T0288,Rustic Blue Ceramic (Glossy),Wall,Outdoor,Blue,60x60 cm,Glossy,Rustic,High,3.0,Outdoor
T0289,Minimalist Blue Mosaic (Glossy),Floor,Kitchen,Blue,30x30 cm,Glossy,Minimalist,Medium,4.4,Indoor
T0290,Rustic Beige Ceramic (Textured),Wall,Bedroom,Beige,80x80 cm,Textured,Rustic,High,3.0,Both
T0291,Rustic White Marble (Satin),Wall,Outdoor,White,100x100 cm,Satin,Rustic,Medium,5.0,Indoor
T0292,Minimalist Black Porcelain (Textured),Floor,Kitchen,Black,60x60 cm,Textured,Minimalist,High,4.5,Indoor
T0293,Rustic Beige Sandstone (Satin),Both,Bathroom,Beige,30x30 cm,Satin,Rustic,Medium,4.3,Indoor
T0294,Minimalist Blue Porcelain (Satin),Both,Kitchen,Blue,80x80 cm,Satin,Minimalist,High,4.1,Indoor
T0295,Minimalist White Ceramic (Matte),Wall,Bathroom,White,30x30 cm,Matte,Minimalist,High,3.0,Outdoor
T0296,Modern Blue Ceramic (Glossy),Both,Outdoor,Blue,80x80 cm,Glossy,Modern,Low,3.1,Both
T0297,Classic Blue Porcelain (Glossy),Floor,Outdoor,Blue,100x100 cm,Glossy,Classic,Low,3.9,Indoor
T0298,Classic Black Slate (Textured),Wall,Bedroom,Black,80x80 cm,Textured,Classic,Low,4.6,Outdoor
T0299,Classic White Marble (Textured),Floor,Kitchen,White,100x100 cm,Textured,Classic,Low,4.9,Outdoor
T0300,Classic Black Slate (Matte),Both,Bathroom,Black,80x80 cm,Matte,Classic,Medium,3.5,Outdoor
